"Lon, features",prediction
"-73.9251, [object Object]",0
"-73.9966, [object Object]",0
"-73.961, [object Object]",0
"-73.8727, [object Object]",2
"-74.0005, [object Object]",0
"-74.0126, [object Object]",0
"-73.9523, [object Object]",0
"-73.9717, [object Object]",0
"-73.9905, [object Object]",0
"-73.993, [object Object]",0
"-73.9655, [object Object]",0
"-73.8724, [object Object]",2
"-74.1775, [object Object]",0
"-73.9998, [object Object]",0
"-73.8856, [object Object]",1
"-73.9894, [object Object]",0
"-73.9685, [object Object]",0
"-74.3923, [object Object]",0
"-73.9736, [object Object]",0
"-73.9556, [object Object]",0
"-74.0006, [object Object]",0
"-73.9909, [object Object]",0
"-73.9657, [object Object]",0
"-73.9893, [object Object]",0
"-73.9791, [object Object]",0
"-73.9867, [object Object]",0
"-74.001, [object Object]",0
"-73.9693, [object Object]",0
"-73.7819, [object Object]",1
"-74.0736, [object Object]",0
"-73.9768, [object Object]",0
"-74.0097, [object Object]",0
"-73.9915, [object Object]",0
"-73.7826, [object Object]",1
"-73.9628, [object Object]",0
"-74.0051, [object Object]",0
"-74.1834, [object Object]",0
"-73.9706, [object Object]",0
"-74.1787, [object Object]",0
"-73.9697, [object Object]",0
"-73.9945, [object Object]",0
"-73.953, [object Object]",0
"-74.0022, [object Object]",0
"-74.0025, [object Object]",0
"-73.9745, [object Object]",0
"-74.0093, [object Object]",0
"-73.9631, [object Object]",0
"-73.9795, [object Object]",0
"-73.9622, [object Object]",0
"-73.9755, [object Object]",0
"-73.9558, [object Object]",0
"-73.9825, [object Object]",0
"-73.9806, [object Object]",0
"-73.9536, [object Object]",0
"-73.8658, [object Object]",2
"-73.9716, [object Object]",0
"-73.974, [object Object]",0
"-73.9849, [object Object]",0
"-73.96, [object Object]",0
"-73.9735, [object Object]",0
"-74.0067, [object Object]",0
"-73.9744, [object Object]",0
"-73.9727, [object Object]",0
"-73.977, [object Object]",0
"-73.9547, [object Object]",0
"-73.9466, [object Object]",0
"-74.0131, [object Object]",0
"-74.0073, [object Object]",0
"-73.8715, [object Object]",1
"-73.998, [object Object]",0
"-73.7895, [object Object]",1
"-73.9753, [object Object]",0
"-73.7823, [object Object]",1
"-73.9947, [object Object]",0
"-73.9608, [object Object]",0
"-73.9712, [object Object]",0
"-73.9696, [object Object]",0
"-74.01, [object Object]",0
"-74.1794, [object Object]",0
"-74.0053, [object Object]",0
"-73.9834, [object Object]",0
"-73.9751, [object Object]",0
"-74.0112, [object Object]",0
"-73.9633, [object Object]",0
"-73.9647, [object Object]",0
"-73.9868, [object Object]",0
"-73.9566, [object Object]",0
"-73.8991, [object Object]",0
"-73.9809, [object Object]",0
"-74.008, [object Object]",0
"-73.997, [object Object]",0
"-73.9641, [object Object]",0
"-74.0055, [object Object]",0
"-74.0077, [object Object]",0
"-73.9733, [object Object]",0
"-73.9772, [object Object]",0
"-73.9741, [object Object]",0
"-73.9968, [object Object]",0
"-74.0662, [object Object]",0
"-73.9987, [object Object]",0
"-74.0084, [object Object]",0
"-73.9858, [object Object]",0
"-73.9651, [object Object]",0
"-74.0003, [object Object]",0
"-73.9955, [object Object]",0
"-73.958, [object Object]",0
"-73.8725, [object Object]",1
"-73.9824, [object Object]",0
"-74.1771, [object Object]",0
"-73.8655, [object Object]",1
"-74.0072, [object Object]",0
"-73.9811, [object Object]",0
"-73.7768, [object Object]",1
"-73.967, [object Object]",0
"-73.9625, [object Object]",0
"-73.9763, [object Object]",0
"-73.9891, [object Object]",0
"-73.9482, [object Object]",0
"-73.9851, [object Object]",0
"-73.9856, [object Object]",0
"-73.9908, [object Object]",0
"-74.0048, [object Object]",0
"-73.962, [object Object]",0
"-73.9764, [object Object]",0
"-73.9573, [object Object]",0
"-73.9553, [object Object]",0
"-73.9767, [object Object]",0
"-73.9898, [object Object]",0
"-73.986, [object Object]",0
"-73.9941, [object Object]",0
"-74.0091, [object Object]",0
"-74.0127, [object Object]",0
"-73.9904, [object Object]",0
"-74.2762, [object Object]",0
"-73.8838, [object Object]",1
"-73.9884, [object Object]",0
"-73.9521, [object Object]",0
"-73.9689, [object Object]",0
"-73.9701, [object Object]",0
"-74.0356, [object Object]",0
"-73.9672, [object Object]",0
"-73.9956, [object Object]",0
"-73.9615, [object Object]",0
"-74.0069, [object Object]",0
"-73.9718, [object Object]",0
"-74.0085, [object Object]",0
"-73.9786, [object Object]",0
"-74.0167, [object Object]",0
"-73.9933, [object Object]",0
"-74.0347, [object Object]",0
"-73.9688, [object Object]",0
"-73.9326, [object Object]",0
"-73.9832, [object Object]",0
"-73.4372, [object Object]",1
"-73.9734, [object Object]",0
"-73.9831, [object Object]",0
"-73.9814, [object Object]",0
"-74.0346, [object Object]",0
"-73.9779, [object Object]",0
"-73.7822, [object Object]",2
"-73.9848, [object Object]",0
"-74.0017, [object Object]",0
"-73.9691, [object Object]",0
"-73.9886, [object Object]",0
"-74.0079, [object Object]",0
"-73.9731, [object Object]",0
"-73.9569, [object Object]",0
"-74.0235, [object Object]",0
"-73.995, [object Object]",0
"-73.9713, [object Object]",0
"-74.002, [object Object]",0
"-74.0103, [object Object]",0
"-73.9835, [object Object]",0
"-74.1689, [object Object]",0
"-73.9984, [object Object]",0
"-73.9539, [object Object]",0
"-73.9975, [object Object]",0
"-73.9949, [object Object]",0
"-74.183, [object Object]",0
"-73.9552, [object Object]",0
"-73.9865, [object Object]",0
"-74.0068, [object Object]",0
"-74.0308, [object Object]",0
"-74.0057, [object Object]",0
"-74.0461, [object Object]",0
"-73.984, [object Object]",0
"-73.9439, [object Object]",0
"-73.9828, [object Object]",0
"-73.9624, [object Object]",0
"-74.181, [object Object]",0
"-73.8232, [object Object]",1
"-74.1798, [object Object]",0
"-73.9792, [object Object]",0
"-73.6507, [object Object]",1
"-73.9962, [object Object]",0
"-73.7899, [object Object]",1
"-74.015, [object Object]",0
"-73.9777, [object Object]",0
"-74.0056, [object Object]",0
"-74.2143, [object Object]",0
"-74.0027, [object Object]",0
"-73.9664, [object Object]",0
"-73.9794, [object Object]",0
"-74.0101, [object Object]",0
"-74.009, [object Object]",0
"-73.8626, [object Object]",2
"-74.0323, [object Object]",0
"-73.9931, [object Object]",0
"-74.0083, [object Object]",0
"-74.0339, [object Object]",0
"-74.0228, [object Object]",0
"-73.9807, [object Object]",0
"-74.0635, [object Object]",0
"-73.9758, [object Object]",0
"-73.9785, [object Object]",0
"-73.8847, [object Object]",1
"-73.9959, [object Object]",0
"-74.0081, [object Object]",0
"-73.9921, [object Object]",0
"-73.9946, [object Object]",0
"-73.9922, [object Object]",0
"-74.0096, [object Object]",0
"-73.9938, [object Object]",0
"-73.9927, [object Object]",0
"-74.0808, [object Object]",0
"-73.9725, [object Object]",0
"-74.0082, [object Object]",0
"-74.0013, [object Object]",0
"-73.8719, [object Object]",1
"-73.9992, [object Object]",0
"-73.9996, [object Object]",0
"-73.9738, [object Object]",0
"-74.0305, [object Object]",0
"-73.7901, [object Object]",1
"-73.9859, [object Object]",0
"-74.1574, [object Object]",0
"-74.0269, [object Object]",0
"-73.9906, [object Object]",0
"-74.0075, [object Object]",0
"-73.9464, [object Object]",0
"-73.9369, [object Object]",0
"-73.9818, [object Object]",0
"-74, [object Object]",0
"-73.9554, [object Object]",0
"-74.0095, [object Object]",0
"-73.9205, [object Object]",0
"-73.9702, [object Object]",0
